id,img_1,img_2,score,similarity_type,lien_interne
30041209,"wit75_pdf75_0106_264,262,263,180.jpg","wit75_pdf75_0888_1257,1096,278,163.jpg",80.25926,1,True
30041220,"wit75_pdf75_0106_37,441,422,232.jpg","wit75_pdf75_0888_13,1435,182,226.jpg",50.11639,1,True
30041222,"wit75_pdf75_0106_1068,466,321,200.jpg","wit75_pdf75_0888_13,1435,182,226.jpg",58.39102,1,True
30041226,"wit75_pdf75_0106_500,1305,210,355.jpg","wit75_pdf75_0888_13,1435,182,226.jpg",52.71068,1,True
30041228,"wit75_pdf75_0106_1174,1859,206,302.jpg","wit75_pdf75_0888_13,1435,182,226.jpg",40.89616,1,True
30041231,"wit75_pdf75_0106_869,787,252,236.jpg","wit75_pdf75_0888_13,1435,182,226.jpg",40.15724,1,True
30039462,"wit75_pdf75_0106_48,1596,224,252.jpg","wit75_pdf75_0888_1312,1345,197,204.jpg",61.69403,1,True
30041239,"wit75_pdf75_0106_640,843,258,175.jpg","wit75_pdf75_0888_1312,1345,197,204.jpg",27.18734,1,True
30041253,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0888_164,1401,269,237.jpg",64.12597,1,True
30041287,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0888_273,2093,314,247.jpg",69.02757,1,True
30041292,"wit75_pdf75_0106_640,843,258,175.jpg","wit75_pdf75_0888_273,2093,314,247.jpg",26.60406,1,True
30041293,"wit75_pdf75_0106_48,1596,224,252.jpg","wit75_pdf75_0888_273,2093,314,247.jpg",37.47981,1,True
30041298,"wit75_pdf75_0106_264,262,263,180.jpg","wit75_pdf75_0888_273,2093,314,247.jpg",35.33949,1,True
30041300,"wit75_pdf75_0106_48,1596,224,252.jpg","wit75_pdf75_0888_311,1851,191,236.jpg",30.19526,1,True
30041302,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0888_311,1851,191,236.jpg",56.87572,1,True
30041305,"wit75_pdf75_0106_640,843,258,175.jpg","wit75_pdf75_0888_311,1851,191,236.jpg",34.38744,1,True
30041306,"wit75_pdf75_0106_264,262,263,180.jpg","wit75_pdf75_0888_311,1851,191,236.jpg",37.33158,1,True
30041328,"wit75_pdf75_0106_1043,2081,204,232.jpg","wit75_pdf75_0888_548,610,274,234.jpg",56.92735,1,True
30041330,"wit75_pdf75_0106_338,1340,196,250.jpg","wit75_pdf75_0888_548,610,274,234.jpg",30.29382,1,True
30041341,"wit75_pdf75_0106_728,1022,228,382.jpg","wit75_pdf75_0888_6,519,216,230.jpg",32.91414,1,True
30612617,"wit75_pdf75_0106_864,246,257,220.jpg","wit75_pdf75_0892_1248,1976,242,176.jpg",59.00349,1,True
30612615,"wit75_pdf75_0106_864,246,257,220.jpg","wit75_pdf75_0892_150,1757,158,232.jpg",43.60241,1,True
30039544,"wit75_pdf75_0106_624,1857,224,201.jpg","wit75_pdf75_0892_1550,848,202,169.jpg",32.29552,1,True
30039661,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0892_1550,848,202,169.jpg",63.07667,1,True
30039543,"wit75_pdf75_0106_624,1857,224,201.jpg","wit75_pdf75_0892_1569,139,262,233.jpg",35.8156,1,True
30039652,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0892_1569,2095,194,230.jpg",86.96186,1,True
30039259,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0892_1569,2095,194,230.jpg",79.29548,1,True
30039512,"wit75_pdf75_0106_54,229,219,217.jpg","wit75_pdf75_0892_1569,2095,194,230.jpg",72.44045,1,True
30041804,"wit75_pdf75_0106_982,1029,148,350.jpg","wit75_pdf75_0892_1569,2095,194,230.jpg",31.67331,1,True
30039257,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0892_1577,385,241,204.jpg",68.43751,1,True
30039662,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0892_1577,385,241,204.jpg",87.97416,1,True
30039468,"wit75_pdf75_0106_489,1643,223,183.jpg","wit75_pdf75_0892_1577,385,241,204.jpg",78.77359,1,True
30039576,"wit75_pdf75_0106_70,2061,264,240.jpg","wit75_pdf75_0892_1577,385,241,204.jpg",42.06505,1,True
30039658,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0892_1583,585,210,206.jpg",71.49813,1,True
30041827,"wit75_pdf75_0106_982,1029,148,350.jpg","wit75_pdf75_0892_1583,585,210,206.jpg",26.42262,1,True
30039212,"wit75_pdf75_0106_1043,2081,204,232.jpg","wit75_pdf75_0892_1583,585,210,206.jpg",50.77033,1,True
30039374,"wit75_pdf75_0106_338,1340,196,250.jpg","wit75_pdf75_0892_1718,827,147,150.jpg",36.60949,1,True
30039251,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0892_1718,827,147,150.jpg",68.07551,1,True
30039529,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0892_1736,1833,186,265.jpg",26.17185,1,True
30039582,"wit75_pdf75_0106_704,1581,201,249.jpg","wit75_pdf75_0892_1736,1833,186,265.jpg",27.06025,1,True
30041863,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0892_1754,2108,218,251.jpg",62.40911,1,True
30041875,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0892_1761,1046,254,230.jpg",66.14987,1,True
30041881,"wit75_pdf75_0106_640,843,258,175.jpg","wit75_pdf75_0892_1761,1046,254,230.jpg",46.45036,1,True
30039218,"wit75_pdf75_0106_1068,466,321,200.jpg","wit75_pdf75_0892_1785,575,215,215.jpg",78.03761,1,True
30039649,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0892_1785,575,215,215.jpg",79.76352,1,True
30039621,"wit75_pdf75_0106_869,787,252,236.jpg","wit75_pdf75_0892_1785,575,215,215.jpg",58.01401,1,True
30039497,"wit75_pdf75_0106_500,1305,210,355.jpg","wit75_pdf75_0892_1785,575,215,215.jpg",58.18828,1,True
30039267,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0892_1785,575,215,215.jpg",63.69045,1,True
30039651,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0892_1824,378,218,218.jpg",69.01126,1,True
30039509,"wit75_pdf75_0106_54,229,219,217.jpg","wit75_pdf75_0892_1824,378,218,218.jpg",57.68809,1,True
30039258,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0892_1824,378,218,218.jpg",42.57004,1,True
30039499,"wit75_pdf75_0106_500,1305,210,355.jpg","wit75_pdf75_0892_1824,378,218,218.jpg",29.57756,1,True
30041910,"wit75_pdf75_0106_869,787,252,236.jpg","wit75_pdf75_0892_1824,378,218,218.jpg",28.22617,1,True
30039223,"wit75_pdf75_0106_1068,466,321,200.jpg","wit75_pdf75_0892_1824,378,218,218.jpg",43.12329,1,True
30039578,"wit75_pdf75_0106_70,2061,264,240.jpg","wit75_pdf75_0892_1824,378,218,218.jpg",35.64396,1,True
