id,img_1,img_2,score,similarity_type,lien_interne
30105012,"wit75_pdf75_0204_967,509,225,182.jpg","wit116_man116_0252_674,1153,349,407.jpg",68.44289,1,False
30105015,"wit75_pdf75_0204_967,509,225,182.jpg","wit116_man116_0282_597,199,303,301.jpg",69.78801,1,False
30105017,"wit75_pdf75_0204_967,509,225,182.jpg","wit116_man116_0596_1180,312,651,557.jpg",72.47024,1,False
30105019,"wit75_pdf75_0204_990,1404,184,374.jpg","wit116_man116_0238_1530,530,334,272.jpg",25.27504,1,False
30105022,"wit75_pdf75_0204_996,1044,154,181.jpg","wit116_man116_0580_986,1063,286,327.jpg",55.58631,1,False
30105031,"wit75_pdf75_0204_996,1044,154,181.jpg","wit116_man116_0596_913,886,629,628.jpg",36.13045,1,False
30105028,"wit75_pdf75_0204_996,1044,154,181.jpg","wit116_man116_0248_561,379,320,372.jpg",32.0987,1,False
30105024,"wit75_pdf75_0204_996,1044,154,181.jpg","wit116_man116_0282_995,203,398,389.jpg",27.64756,1,False
30105025,"wit75_pdf75_0204_996,1044,154,181.jpg","wit116_man116_0282_1452,563,320,360.jpg",29.89786,1,False
30040146,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0564_22,981,484,433.jpg",35.73328,1,True
30040105,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0204_1982,1031,230,208.jpg",65.66439,1,True
30040149,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0892_523,430,186,178.jpg",37.41913,1,True
30040150,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0892_1550,848,202,169.jpg",41.42806,1,True
30040151,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0204_680,141,181,203.jpg",31.25492,1,True
30040152,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0795_526,190,383,494.jpg",25.70745,1,True
30040153,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0888_1101,575,288,272.jpg",49.51888,1,True
30040154,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0892_1073,433,163,205.jpg",34.17457,1,True
30040155,"wit75_pdf75_0204_305,124,229,214.jpg","wit75_pdf75_0564_427,575,502,444.jpg",35.19611,1,True
30039914,"wit75_pdf75_0204_108,1408,192,183.jpg","wit75_pdf75_0204_305,124,229,214.jpg",80.7036,1,True
30040158,"wit75_pdf75_0204_305,124,229,214.jpg","wit75_pdf75_0204_498,1574,204,185.jpg",68.80217,1,True
30040255,"wit75_pdf75_0204_482,1208,224,218.jpg","wit75_pdf75_0204_960,502,239,190.jpg",65.65186,1,True
30040256,"wit75_pdf75_0204_482,1208,224,218.jpg","wit75_pdf75_0564_36,1411,278,297.jpg",87.48092,1,True
30040249,"wit75_pdf75_0204_316,1577,194,198.jpg","wit75_pdf75_0204_482,1208,224,218.jpg",70.33432,1,True
30040251,"wit75_pdf75_0204_482,1208,224,218.jpg","wit75_pdf75_0204_850,150,209,196.jpg",71.45149,1,True
30040147,"wit75_pdf75_0204_295,1422,180,172.jpg","wit75_pdf75_0204_482,1208,224,218.jpg",47.8965,1,True
30040254,"wit75_pdf75_0204_482,1208,224,218.jpg","wit75_pdf75_0204_1743,993,278,249.jpg",82.93087,1,True
30040258,"wit75_pdf75_0204_103,334,217,192.jpg","wit75_pdf75_0204_482,1208,224,218.jpg",86.88176,1,True
30040448,"wit75_pdf75_0204_853,1574,220,187.jpg","wit75_pdf75_0892_1262,1583,206,178.jpg",55.38747,1,True
30040449,"wit75_pdf75_0204_853,1574,220,187.jpg","wit75_pdf75_0892_1079,219,179,223.jpg",50.20094,1,True
30040287,"wit75_pdf75_0204_498,1574,204,185.jpg","wit75_pdf75_0204_853,1574,220,187.jpg",87.59483,1,True
30040528,"wit75_pdf75_0204_436,1763,349,368.jpg","wit75_pdf75_0236_52,878,172,266.jpg",50.96831,1,True
30040532,"wit75_pdf75_0204_1187,1241,290,168.jpg","wit75_pdf75_0236_52,878,172,266.jpg",27.13923,1,True
30039828,"wit75_pdf75_0204_1018,1218,207,195.jpg","wit75_pdf75_0459_267,1962,241,282.jpg",80.50465,1,True
